"codibge","Município","2012","2013","2014","2015","2016","2017","2018"
"3133402","Itapagipe (MG)","291260","339610","380459","360772","387688","454982","410186"
"3133501","Itapecerica (MG)","281811","340052","375293","399107","430117","463381","483053"
"3133600","Itapeva (MG)","155265","212977","351884","229719","244602","302848","513763"
"3133709","Itatiaiuçu (MG)","1550406","1682497","1840468","741168","772634","960666","1548609"
"3133758","Itaú de Minas (MG)","621296","613235","613956","510475","486722","509370","455201"
"3133808","Itaúna (MG)","2172457","2408444","2499009","2466328","2620157","3030158","3101335"
"3133907","Itaverava (MG)","31147","42324","42998","50345","54499","48338","49871"
"3134004","Itinga (MG)","80889","93631","114446","117650","122364","122229","122876"
"3134103","Itueta (MG)","52631","56196","64511","75674","77328","81332","70904"
"3134202","Ituiutaba (MG)","2081440","2548879","2666713","2744948","2868378","2895754","2769758"
"3134301","Itumirim (MG)","40979","44705","48004","53168","61036","61545","59628"
"3134400","Iturama (MG)","1845608","1774187","1533344","1825273","1986558","1726005","2149543"
"3134509","Itutinga (MG)","48710","73630","57179","81339","100008","83550","116042"
"3134608","Jaboticatubas (MG)","129685","150578","171103","185427","199424","205297","219848"
"3134707","Jacinto (MG)","72043","77968","83152","94404","100544","101966","103586"
"3134806","Jacuí (MG)","77724","81365","93347","95008","113420","109687","114593"
"3134905","Jacutinga (MG)","414689","412148","445457","502494","500152","633913","692706"
"3135001","Jaguaraçu (MG)","44590","52500","59757","62331","61886","64962","71504"
"3135050","Jaíba (MG)","312641","402994","431770","470533","522283","555252","532180"
"3135076","Jampruca (MG)","36185","42540","45642","46843","51706","54502","54588"
"3135100","Janaúba (MG)","646789","725688","846812","967457","1025152","1096808","1123226"
"3135209","Januária (MG)","445242","509465","556625","594901","636624","676301","687278"
"3135308","Japaraíba (MG)","49207","49416","54176","59195","58922","68416","72077"
"3135357","Japonvar (MG)","38185","51584","52051","53919","57291","57654","59879"
"3135407","Jeceaba (MG)","261124","580182","722109","614210","593465","770609","1016765"
"3135456","Jenipapo de Minas (MG)","32931","36441","41788","45584","46282","69760","70897"
"3135506","Jequeri (MG)","102443","104484","134642","134956","152825","145473","139069"
"3135605","Jequitaí (MG)","56204","70579","69387","70546","74788","78647","78254"
"3135704","Jequitibá (MG)","75186","83422","86073","89473","104134","89202","90217"
"3135803","Jequitinhonha (MG)","136352","157848","188598","208737","238419","225098","228015"
"3135902","Jesuânia (MG)","44430","44338","50247","51506","66442","64401","61288"
"3136009","Joaíma (MG)","82156","91713","103459","113743","124722","131819","134622"
"3136108","Joanésia (MG)","42074","49108","48747","82221","88152","77144","80537"
"3136207","João Monlevade (MG)","1993557","2186452","2374713","2339499","2318455","2591006","2922631"
"3136306","João Pinheiro (MG)","829920","957820","1077534","1177576","1333217","1462069","1465894"
"3136405","Joaquim Felício (MG)","32688","46210","43708","44425","43382","40378","44022"
"3136504","Jordânia (MG)","54506","64179","70658","75729","82825","82015","90632"
"3136520","José Gonçalves de Minas (MG)","23255","29146","33431","34335","35080","44991","44744"
"3136553","José Raydan (MG)","36020","42235","42519","40798","50758","54607","51530"
"3136579","Josenópolis (MG)","166583","33629","27811","39315","38226","36223","37127"
"3136603","Nova União (MG)","45721","50461","62233","62660","67869","82165","85675"
"3136652","Juatuba (MG)","810662","902246","1018529","1130250","1087403","1202426","1204884"
"3136702","Juiz de Fora (MG)","11916163","13196898","13955698","14436472","14524863","15990513","16923044"
"3136801","Juramento (MG)","77427","69459","34481","39611","39458","36755","38621"
"3136900","Juruaia (MG)","120931","113809","148073","154156","177371","164671","153205"
"3136959","Juvenília (MG)","34846","38700","41844","44589","49777","50146","51073"
"3137007","Ladainha (MG)","96275","85668","92439","101644","110051","113162","118447"
"3137106","Lagamar (MG)","109222","130564","134556","136182","162145","262615","166842"
"3137205","Lagoa da Prata (MG)","919422","1111375","1295164","1340940","1377436","1631664","1811611"
"3137304","Lagoa dos Patos (MG)","96534","35373","36845","39193","43048","44679","41724"
"3137403","Lagoa Dourada (MG)","114982","130800","135987","151638","231690","202052","222120"
"3137502","Lagoa Formosa (MG)","214184","228559","258090","286427","338130","333813","344443"
"3137536","Lagoa Grande (MG)","139954","167802","176966","181949","207290","227768","239952"
"3137601","Lagoa Santa (MG)","1223592","1418298","1664265","1665738","1965707","1661470","1648497"
"3137700","Lajinha (MG)","211508","243098","242327","281387","319146","313262","343550"
"3137809","Lambari (MG)","224468","236161","278060","290274","333262","333590","321020"
"3137908","Lamim (MG)","23195","27636","31455","32839","36418","40216","41622"
"3138005","Laranjal (MG)","54805","61237","61667","65940","71820","75713","77559"
"3138104","Lassance (MG)","94479","103168","115327","99769","90986","111960","126404"
"3138203","Lavras (MG)","1825820","2059196","2096118","2102443","2273631","2486356","2615330"
"3138302","Leandro Ferreira (MG)","28134","34326","35413","35981","39886","38517","40148"
"3138351","Leme do Prado (MG)","31662","32984","34383","41000","46458","50546","49826"
"3138401","Leopoldina (MG)","709282","808255","891587","974908","981167","1038922","1013874"
"3138500","Liberdade (MG)","52742","59963","60416","69987","75606","81899","72304"
"3138609","Lima Duarte (MG)","151276","205924","221899","219658","248687","250863","276680"
"3138625","Limeira do Oeste (MG)","172901","223713","208522","278546","312043","342581","389774"
"3138658","Lontra (MG)","38534","45342","50488","53835","58892","65128","69409"
"3138674","Luisburgo (MG)","57946","47620","65727","70883","72965","81967","80825"
"3138682","Luislândia (MG)","34625","38386","41319","45029","50087","48543","47866"
"3138708","Luminárias (MG)","45968","50418","55585","61518","74761","102201","90592"
"3138807","Luz (MG)","312754","379510","419677","432027","429815","487069","503372"
"3138906","Machacalis (MG)","46095","60248","55159","61619","73354","74522","81851"
"3139003","Machado (MG)","724441","763287","764474","855183","941546","962265","1056756"
"3139102","Madre de Deus de Minas (MG)","78604","90403","92295","110706","182256","156663","163193"
"3139201","Malacacheta (MG)","123718","143241","165065","179542","191158","181491","193768"
"3139250","Mamonas (MG)","29290","33269","36092","39721","46599","47993","47822"
"3139300","Manga (MG)","128923","145976","175123","189683","205958","187799","194455"
"3139409","Manhuaçu (MG)","1526574","1638603","1812033","1956063","2076764","2386303","2092768"
"3139508","Manhumirim (MG)","296581","305305","368217","415233","424702","448112","471809"
"3139607","Mantena (MG)","279142","294526","319121","349070","360249","376871","391821"
"3139706","Maravilhas (MG)","87137","113589","112599","93594","112711","115238","140686"
"3139805","Mar de Espanha (MG)","117224","123681","134251","144788","152365","170453","171107"
"3139904","Maria da Fé (MG)","106035","115865","130150","144971","151309","157652","165838"
"3140001","Mariana (MG)","5390622","6613176","5008449","3254653","2229558","2899086","2753719"
"3140100","Marilac (MG)","28671","33667","36548","37916","39596","42057","41655"
"3140159","Mário Campos (MG)","100924","124380","141139","146315","154615","154910","155825"
"3140209","Maripá de Minas (MG)","31288","42678","42261","43658","47992","57644","54812"
"3140308","Marliéria (MG)","25752","31297","34451","37714","38920","39495","43072"
"3140407","Marmelópolis (MG)","21770","24919","27828","27577","28867","30952","32330"
"3140506","Martinho Campos (MG)","214944","204825","239810","253705","299485","320823","333759"
"3140530","Martins Soares (MG)","79639","81237","101369","117093","133884","135904","199204"
"3140555","Mata Verde (MG)","41409","45584","49043","52953","58889","62619","68082"
"3140605","Materlândia (MG)","32359","33107","37111","38305","44158","44127","43631"
"3140704","Mateus Leme (MG)","434682","562910","553358","535844","570348","692585","697591"
"3140803","Matias Barbosa (MG)","436659","498801","507442","504419","575198","505305","530477"
"3140852","Matias Cardoso (MG)","96117","120382","124039","126349","143836","132261","114924"
"3140902","Matipó (MG)","228429","280203","244555","367803","398873","241017","379540"
"3141009","Mato Verde (MG)","80275","90082","100729","103559","113785","119946","125197"
"3141108","Matozinhos (MG)","867931","890007","983428","969570","936632","1003807","1019637"
"3141207","Matutina (MG)","47779","62950","56571","61069","65216","63002","68601"
"3141306","Medeiros (MG)","82574","99184","100651","105047","144951","120499","124895"
"3141405","Medina (MG)","153019","186186","189580","207680","210622","215515","211654"
"3141504","Mendes Pimentel (MG)","40448","46192","47678","50457","57210","56106","56015"
"3141603","Mercês (MG)","78778","89594","96074","102235","113395","115992","119189"
"3141702","Mesquita (MG)","32427","33770","38252","43516","44235","45476","45814"
"3141801","Minas Novas (MG)","179837","204478","256491","283550","250743","251498","298227"
"3141900","Minduri (MG)","39277","50709","57239","69025","81139","70616","69349"
"3142007","Mirabela (MG)","71723","90368","94567","105425","113160","122795","126405"
"3142106","Miradouro (MG)","99269","97782","109823","122246","132724","130089","129322"
"3142205","Miraí (MG)","172992","224062","197298","219636","174731","242620","253141"
"3142254","Miravânia (MG)","24433","26897","29756","31573","32383","36847","37520"
"3142304","Moeda (MG)","33377","49424","54827","49262","55657","59013","58004"
"3142403","Moema (MG)","61330","71093","76361","81870","97930","106939","112500"
"3142502","Monjolos (MG)","20744","24695","26807","28186","32776","41289","28154"
"3142601","Monsenhor Paulo (MG)","161027","167051","184076","178545","205071","195808","176143"
"3142700","Montalvânia (MG)","95986","98374","110403","118687","125707","126213","131230"
"3142809","Monte Alegre de Minas (MG)","409104","425775","502565","507729","576364","551194","529809"
"3142908","Monte Azul (MG)","132029","145823","162396","172109","183748","190656","194025"
"3143005","Monte Belo (MG)","180172","184496","201884","215363","255840","282960","263284"
"3143104","Monte Carmelo (MG)","848869","1102782","1271372","1119160","1038071","1091638","1127893"
"3143153","Monte Formoso (MG)","19872","22635","25988","28514","31668","32087","34465"
"3143203","Monte Santo de Minas (MG)","353503","319378","342323","366348","436493","357457","404354"
"3143302","Montes Claros (MG)","6172330","7042716","7802685","8011232","8770319","8967973","9441519"
"3143401","Monte Sião (MG)","304821","304004","336942","397907","404347","413092","411201"
"3143450","Montezuma (MG)","39269","43515","50611","56688","50835","60269","68800"
"3143500","Morada Nova de Minas (MG)","142292","166309","175042","211026","257625","272361","311060"
"3143609","Morro da Garça (MG)","39541","47577","47670","149608","168819","47264","46522"
"3143708","Morro do Pilar (MG)","29737","35040","32562","31394","30353","32574","32551"
"3143807","Munhoz (MG)","42054","49440","53887","64512","79012","88033","89051"
"3143906","Muriaé (MG)","1538953","1741040","1831990","1892370","2037368","2100503","2149762"
"3144003","Mutum (MG)","240067","255345","290915","299714","342879","374296","378095"
"3144102","Muzambinho (MG)","309662","310905","371744","396288","458337","415075","390639"
"3144201","Nacip Raydan (MG)","19046","23276","26628","27732","29430","27006","28594"
"3144300","Nanuque (MG)","493003","543709","575137","637851","644480","644030","707305"
"3144359","Naque (MG)","43819","50736","59478","65621","67733","68614","74309"
"3144375","Natalândia (MG)","30729","35797","38664","40651","47391","43839","45819"
"3144409","Natércia (MG)","52798","52798","56379","67156","82519","67916","75324"
"3144508","Nazareno (MG)","175855","196969","210516","219393","246903","208795","310794"
"3144607","Nepomuceno (MG)","315353","322171","373620","395681","471766","444289","457334"
"3144656","Ninheira (MG)","53423","53944","59195","71115","74750","75958","85135"
"3144672","Nova Belém (MG)","39854","32977","41751","52955","58437","37655","41187"
"3144706","Nova Era (MG)","296286","329055","374922","324849","309797","321629","344478"
"3144805","Nova Lima (MG)","7923101","9564345","9156051","7288510","7848285","9117371","10439694"
"3144904","Nova Módica (MG)","29439","33611","36769","39309","40750","42533","43728"
"3145000","Nova Ponte (MG)","631056","667475","678753","850930","841543","772975","1140199"
"3145059","Nova Porteirinha (MG)","65267","88586","79134","90893","117669","104542","105526"
"3145109","Nova Resende (MG)","249658","185418","249107","274618","277346","296578","275027"
"3145208","Nova Serrana (MG)","1489783","1644361","1838090","1915877","2102148","2603232","2368040"
"3145307","Novo Cruzeiro (MG)","150802","165358","206664","206599","234216","233637","235921"
"3145356","Novo Oriente de Minas (MG)","49643","54570","58843","65214","74568","81944","92736"
"3145372","Novorizonte (MG)","30022","33612","35884","40055","44913","50754","51366"
"3145406","Olaria (MG)","15148","16592","18105","20308","23794","23635","24158"
"3145455","Olhos-d'Água (MG)","333407","65382","63861","84031","225188","120829","157017"
"3145505","Olímpio Noronha (MG)","25950","26576","31505","34238","40683","36589","33644"
"3145604","Oliveira (MG)","552175","647957","688218","725141","777609","848151","857307"
"3145703","Oliveira Fortes (MG)","20413","22741","24928","26988","30227","30147","31078"
"3145802","Onça de Pitangui (MG)","34646","39300","45616","50730","49244","49109","51372"
"3145851","Oratórios (MG)","36397","42443","43287","44070","47477","53327","50667"
"3145877","Orizânia (MG)","43130","49471","56986","61575","80184","80574","85543"
"3145901","Ouro Branco (MG)","2845778","2941250","3110242","3220454","2974421","3360901","4075206"
"3146008","Ouro Fino (MG)","486531","501749","512218","570139","636457","657819","712619"
"3146107","Ouro Preto (MG)","5678231","6723758","5826798","3918346","3045880","4647155","6831108"
"3146206","Ouro Verde de Minas (MG)","31594","35899","40499","41527","46227","46240","48964"
"3146255","Padre Carvalho (MG)","249699","50209","38229","56892","62929","50313","55339"
"3146305","Padre Paraíso (MG)","116706","110691","133780","147468","158091","168937","172563"
"3146404","Paineiras (MG)","46029","54195","51546","53118","57030","59756","59442"
"3146503","Pains (MG)","243288","282250","282718","259662","287264","311223","286792"
"3146552","Pai Pedro (MG)","30694","33103","36332","38652","41318","43445","44555"
"3146602","Paiva (MG)","14417","15904","17479","18855","20071","22165","23638"
"3146701","Palma (MG)","46626","55213","58057","58400","63334","68944","72995"
"3146750","Palmópolis (MG)","32150","36819","38143","44625","47245","47116","49030"
"3146909","Papagaios (MG)","179457","196797","211646","218520","226628","250217","259373"
"3147006","Paracatu (MG)","2677772","2913028","2851633","2848098","3317454","3509442","4309964"
"3147105","Pará de Minas (MG)","1933559","2175491","2340911","2378788","2489337","2745629","2893644"
"3147204","Paraguaçu (MG)","325438","344760","369544","376536","502115","481615","469316"
"3147303","Paraisópolis (MG)","294382","356837","350859","374569","415833","578638","490450"
"3147402","Paraopeba (MG)","365465","408471","433878","443790","524283","565436","747550"
"3147501","Passabém (MG)","13443","15608","18169","17866","18935","19820","19814"
"3147600","Passa Quatro (MG)","242763","273355","286768","301550","315571","376252","372276"
"3147709","Passa Tempo (MG)","131757","150558","137482","137837","162193","187771","243877"
"3147808","Passa Vinte (MG)","18672","27050","29830","27728","31175","32145","32533"
"3147907","Passos (MG)","1796300","1953703","2082528","2152572","2300042","2387477","2478993"
"3147956","Patis (MG)","29815","33468","36135","38326","43480","44517","46286"
"3148004","Patos de Minas (MG)","2655514","3130926","3510975","3810486","4195265","4378859","4685827"
"3148103","Patrocínio (MG)","1751532","1793248","2192815","2160227","2545724","2737659","2875655"
"3148202","Patrocínio do Muriaé (MG)","55022","79113","80275","83738","70861","74364","90610"
"3148301","Paula Cândido (MG)","64389","74335","77690","83294","90060","95270","96725"
"3148400","Paulistas (MG)","29855","34293","37021","44959","46542","43964","47803"
"3148509","Pavão (MG)","52248","63536","65951","66592","69917","69523","70909"
"3148608","Peçanha (MG)","121172","164844","146336","175328","174225","179174","195169"
"3148707","Pedra Azul (MG)","189679","207572","232209","223678","210337","273043","298738"
"3148756","Pedra Bonita (MG)","50622","47965","56886","53042","72512","62333","66341"
"3148806","Pedra do Anta (MG)","24787","28093","30060","33244","33893","48692","37820"
"3148905","Pedra do Indaiá (MG)","62485","51284","78761","75750","82985","79391","92050"
"3149002","Pedra Dourada (MG)","23308","24254","27305","30003","32245","34958","30448"
"3149101","Pedralva (MG)","108170","103404","122550","123808","151727","129792","130914"
"3149150","Pedras de Maria da Cruz (MG)","52402","62888","67521","72879","79980","84536","82777"
"3149200","Pedrinópolis (MG)","73710","80620","79557","88420","121124","106515","115543"
"3149309","Pedro Leopoldo (MG)","1480295","1599991","1582456","1497084","1427215","1437733","1422695"
"3149408","Pedro Teixeira (MG)","15099","18792","20305","20329","22386","21377","22251"
"3149507","Pequeri (MG)","33027","33445","37055","39783","41638","42886","43030"
"3149606","Pequi (MG)","38344","50535","54336","54550","56991","60366","59805"
"3149705","Perdigão (MG)","100383","118672","133659","148518","160201","214046","198590"
"3149804","Perdizes (MG)","514115","526157","488460","509383","660958","600369","913865"
"3149903","Perdões (MG)","316655","343789","361580","357668","518401","478423","489429"
"3149952","Periquito (MG)","62732","73237","75013","80054","81198","72610","88656"
"3150000","Pescador (MG)","27991","32710","35225","38135","40976","38631","38966"
"3150109","Piau (MG)","33463","40168","41911","54701","59477","46516","77998"
"3150158","Piedade de Caratinga (MG)","55121","56840","70274","78642","89502","88778","89412"
"3150208","Piedade de Ponte Nova (MG)","38386","40327","42115","41875","43732","49994","49620"
"3150307","Piedade do Rio Grande (MG)","102619","129242","75318","66950","97244","73777","65405"
"3150406","Piedade dos Gerais (MG)","36687","42747","44539","56757","67391","62144","64537"
"3150505","Pimenta (MG)","108456","137018","146525","154003","181911","177651","189441"
"3150539","Pingo d'Água (MG)","34065","31755","33982","35650","37480","38711","40589"
"3150570","Pintópolis (MG)","37396","43894","48610","53785","59132","56757","60200"
"3150604","Piracema (MG)","63488","82586","87007","95805","101914","105262","147033"
"3150703","Pirajuba (MG)","166908","199687","198520","224941","245746","308785","305685"
"3150802","Piranga (MG)","99530","118233","125529","133944","152709","159805","161660"
"3150901","Piranguçu (MG)","38036","42953","44588","48784","55089","53590","65111"
"3151008","Piranguinho (MG)","65324","74215","86291","92262","97717","101908","109394"
"3151107","Pirapetinga (MG)","320833","361845","435038","425256","461284","588966","448659"
"3151206","Pirapora (MG)","1373075","1380860","1605429","1279085","1682396","1837373","2280151"
"3151305","Piraúba (MG)","95541","113335","130224","138881","151584","164074","158766"
"3151404","Pitangui (MG)","304802","363802","401396","404689","409652","509908","527091"
"3151503","Piumhi (MG)","645235","511642","669944","705265","874512","866514","866506"
"3151602","Planura (MG)","345736","276900","283046","383830","422102","488212","454915"
"3151701","Poço Fundo (MG)","179610","172042","196828","236084","262425","259188","307853"
"3151800","Poços de Caldas (MG)","4838325","5850232","6461137","6504479","6123490","6368086","7645804"
"3151909","Pocrane (MG)","55319","62659","70072","77603","87137","101932","90103"
"3152006","Pompéu (MG)","430315","504746","561807","616036","675568","731803","782138"
"3152105","Ponte Nova (MG)","1072632","1133587","1293704","1389798","1484833","1649845","1653389"
"3152131","Ponto Chique (MG)","26258","30107","34322","34765","38264","38233","38512"
"3152170","Ponto dos Volantes (MG)","62827","80040","83116","84464","98515","81521","85117"
"3152204","Porteirinha (MG)","220874","249611","273213","300354","308808","335666","335564"
"3152303","Porto Firme (MG)","66780","73293","77346","85780","86990","90555","90799"
"3152402","Poté (MG)","97540","108954","120649","125425","136270","137602","141259"
"3152501","Pouso Alegre (MG)","4194971","5141836","5925271","6553097","6825551","7390449","7619096"
"3152600","Pouso Alto (MG)","106932","119083","110897","128617","152797","220804","224462"
"3152709","Prados (MG)","90761","126015","115580","128076","160372","152096","165690"
"3152808","Prata (MG)","672546","748056","812242","824339","946465","928699","975613"
"3152907","Pratápolis (MG)","119441","118839","141846","139022","149526","137980","154867"
"3153004","Pratinha (MG)","55792","56665","70667","71498","96529","94148","92751"
"3153103","Presidente Bernardes (MG)","30187","33495","37466","39076","47193","46945","47129"
"3153202","Presidente Juscelino (MG)","31608","46882","45851","43233","45796","42499","45332"
"3153301","Presidente Kubitschek (MG)","20673","20284","22394","23651","25835","27659","28095"
"3153400","Presidente Olegário (MG)","321374","342260","344532","357815","461586","452691","437851"
"3153509","Alto Jequitibá (MG)","69226","62822","85750","109249","103867","120220","96212"
"3153608","Prudente de Morais (MG)","96042","126424","139568","130435","132684","144572","147912"
"3153707","Quartel Geral (MG)","37827","40372","41473","41210","47593","50627","54366"
"3153806","Queluzito (MG)","17817","19569","21929","24431","27642","29149","28867"
"3153905","Raposos (MG)","97936","127925","138577","140798","185502","298129","183798"
"3154002","Raul Soares (MG)","200349","213818","238061","261312","295505","293272","312885"
"3154101","Recreio (MG)","69334","74170","82371","83535","89162","98430","101604"
"3154150","Reduto (MG)","59998","60684","69918","78334","85080","92600","90194"
"3154200","Resende Costa (MG)","93515","105181","115020","120254","156514","154881","180929"
"3154309","Resplendor (MG)","205947","216962","231542","225755","233409","221913","222842"
"3154408","Ressaquinha (MG)","114011","134570","133763","163951","181930","171707","202227"
"3154457","Riachinho (MG)","62586","81149","80240","84971","100055","90681","99780"
"3154507","Riacho dos Machados (MG)","65804","75526","171669","131685","164609","205894","284345"
"3154606","Ribeirão das Neves (MG)","2512687","2874956","3299611","3469955","3619730","3856169","4102357"
"3154705","Ribeirão Vermelho (MG)","72766","85557","96330","81730","100225","85733","86101"
"3154804","Rio Acima (MG)","185452","203680","194200","134528","136092","131656","190998"
"3154903","Rio Casca (MG)","150544","158304","154335","171586","178636","186960","194309"
"3155009","Rio Doce (MG)","21295","25597","25046","25380","29861","35979","43003"
"3155108","Rio do Prado (MG)","28403","31388","32390","38135","39370","39855","41184"
"3155207","Rio Espera (MG)","27444","36403","36942","39321","39219","46659","48192"
"3155306","Rio Manso (MG)","57243","61025","64736","69192","81571","81000","85414"
"3155405","Rio Novo (MG)","74687","84347","90049","100990","106898","111021","106745"
"3155504","Rio Paranaíba (MG)","374810","370730","423243","465915","600565","499032","516029"
"3155603","Rio Pardo de Minas (MG)","185740","215317","235136","220610","252567","259982","274913"
"3155702","Rio Piracicaba (MG)","534562","628425","584343","354818","382761","511167","561566"
"3155801","Rio Pomba (MG)","191352","218448","245745","270680","290137","300541","340559"
"3155900","Rio Preto (MG)","40455","49249","50784","54563","56579","55122","52621"
"3156007","Rio Vermelho (MG)","75161","87089","92630","103567","111633","112780","112073"
"3156106","Ritápolis (MG)","39063","43670","47632","53264","61676","69118","64213"
"3156205","Rochedo de Minas (MG)","17232","22374","22546","22917","25346","25830","26286"
"3156304","Rodeiro (MG)","285451","296742","359378","279970","369888","409891","395555"
"3156403","Romaria (MG)","180656","236077","227369","117463","167149","136023","140025"
"3156452","Rosário da Limeira (MG)","31066","33805","39064","43612","51285","47753","47124"
"3156502","Rubelita (MG)","39869","40684","46272","49252","53194","56558","55939"
"3156601","Rubim (MG)","58726","65467","70798","80320","81285","85337","85073"
"3156700","Sabará (MG)","1750508","2013475","2130507","2199322","2322491","2525088","2919829"
"3156809","Sabinópolis (MG)","117609","133659","141985","150745","179621","182223","180592"
"3156908","Sacramento (MG)","721028","770966","1073185","1185122","1345706","1531424","1338218"
"3157005","Salinas (MG)","395011","444318","468849","532604","545287","553781","545165"
"3157104","Salto da Divisa (MG)","65287","76462","81991","88846","93041","97660","102990"
"3157203","Santa Bárbara (MG)","646906","703356","715828","697702","719151","766290","826673"
"3157252","Santa Bárbara do Leste (MG)","53774","58070","70475","69337","78776","79344","89354"
"3157278","Santa Bárbara do Monte Verde (MG)","25393","34669","38612","41969","39960","38743","49807"
"3157302","Santa Bárbara do Tugúrio (MG)","36629","46555","42718","50506","50347","56009","57807"
"3157336","Santa Cruz de Minas (MG)","54719","69723","69430","80655","75033","88467","92011"
"3157377","Santa Cruz de Salinas (MG)","27255","30975","33692","34425","36256","37556","37017"
"3157401","Santa Cruz do Escalvado (MG)","36088","40366","41818","39716","45421","48725","52287"
"3157500","Santa Efigênia de Minas (MG)","25469","29082","31466","33646","37748","39967","44520"
"3157609","Santa Fé de Minas (MG)","27251","29859","33154","34847","37587","37873","38653"
"3157658","Santa Helena de Minas (MG)","28297","32444","36325","39157","41402","44429","46652"
"3157708","Santa Juliana (MG)","393695","441227","729073","667352","643385","640243","768265"
"3157807","Santa Luzia (MG)","2655170","3160573","3240402","3244736","3303465","3786547","3986003"
"3157906","Santa Margarida (MG)","204540","168456","211540","227220","262256","271957","263727"
"3158003","Santa Maria de Itabira (MG)","112094","135951","147905","133276","146043","165436","163115"
"3158102","Santa Maria do Salto (MG)","28402","32943","34665","36326","38936","40113","40948"
"3158201","Santa Maria do Suaçuí (MG)","90885","104503","111569","116969","125547","133387","138884"
"3158300","Santana da Vargem (MG)","152192","120529","121800","115300","157760","136250","137076"
"3158409","Santana de Cataguases (MG)","28090","38190","41715","44709","44221","38773","40340"
"3158508","Santana de Pirapama (MG)","62684","73050","82203","80777","92551","83329","84235"
"3158607","Santana do Deserto (MG)","36443","30583","35561","35710","37445","39325","39386"
"3158706","Santana do Garambéu (MG)","17632","22608","23744","24769","28546","28649","30805"
"3158805","Santana do Jacaré (MG)","47122","51029","54450","67686","71801","76015","78652"
"3158904","Santana do Manhuaçu (MG)","73045","63513","76402","88747","101613","109821","111886"
"3158953","Santana do Paraíso (MG)","379790","466847","451033","472026","502905","490332","647374"
"3159001","Santana do Riacho (MG)","37983","41524","47645","50649","60539","61255","63360"
"3159100","Santana dos Montes (MG)","23608","28558","30673","32295","35680","32700","33894"
"3159209","Santa Rita de Caldas (MG)","111122","136209","134174","147997","171508","146477","157354"
"3159308","Santa Rita de Jacutinga (MG)","39747","45918","47728","50494","54963","55138","56238"
"3159357","Santa Rita de Minas (MG)","58259","60109","68530","78071","82084","77653","79840"
"3159407","Santa Rita de Ibitipoca (MG)","28881","32935","36455","35711","55409","56791","52334"
"3159506","Santa Rita do Itueto (MG)","94729","71775","89447","88329","121921","126012","93541"
"3159605","Santa Rita do Sapucaí (MG)","1118001","1266645","1360090","1427752","1632605","1560043","1469317"
"3159704","Santa Rosa da Serra (MG)","47101","39007","49028","43909","51001","55863","56891"
"3159803","Santa Vitória (MG)","461794","506637","502153","593277","690558","721389","1339212"
"3159902","Santo Antônio do Amparo (MG)","169766","178336","233984","220355","303840","249704","284465"
"3160009","Santo Antônio do Aventureiro (MG)","31420","35368","36512","36788","42577","44598","45413"
"3160108","Santo Antônio do Grama (MG)","40104","43048","47636","53419","69918","70856","60168"
"3160207","Santo Antônio do Itambé (MG)","25888","29520","28547","30977","32656","34641","35675"
"3160306","Santo Antônio do Jacinto (MG)","60588","66769","71348","76766","83051","89128","88545"
"3160405","Santo Antônio do Monte (MG)","380701","409117","429739","446273","489251","529045","574805"
"3160454","Santo Antônio do Retiro (MG)","34845","39618","45465","46809","50611","48678","49805"
"3160504","Santo Antônio do Rio Abaixo (MG)","16962","20155","21208","20110","20420","22201","22882"
"3160603","Santo Hipólito (MG)","30171","34248","35823","38124","38918","33654","35764"
"3160702","Santos Dumont (MG)","581839","611489","686265","847675","920427","906188","938711"
"3160801","São Bento Abade (MG)","41920","48635","59132","57674","69926","60872","60876"
"3160900","São Brás do Suaçuí (MG)","50518","64107","76792","65826","59089","51230","54304"
"3160959","São Domingos das Dores (MG)","41281","42560","55359","60036","85392","66627","72562"
"3161007","São Domingos do Prata (MG)","163284","187060","199160","189910","227521","241193","251805"
"3161056","São Félix de Minas (MG)","23531","31307","30009","30135","36050","35929","37337"
"3161106","São Francisco (MG)","313830","361880","393233","433576","480975","495013","505203"
"3161205","São Francisco de Paula (MG)","64666","64172","78137","85683","100674","96228","98701"
"3161304","São Francisco de Sales (MG)","116256","132621","120225","120585","141189","144458","133113"
"3161403","São Francisco do Glória (MG)","38750","40354","49360","51229","59590","53371","54554"
"3161502","São Geraldo (MG)","114483","127328","132268","148466","157154","204674","200119"
"3161601","São Geraldo da Piedade (MG)","28468","35826","32597","36750","37374","36105","36315"
"3161650","São Geraldo do Baixio (MG)","30339","27201","31974","35563","39639","37035","39078"
"3161700","São Gonçalo do Abaeté (MG)","134500","172060","164374","175879","209782","211094","227991"
"3161809","São Gonçalo do Pará (MG)","127742","149490","160605","165408","177395","232698","244270"
"3161908","São Gonçalo do Rio Abaixo (MG)","3144863","3532063","2762903","1793478","2074667","3125582","3648790"
"3162005","São Gonçalo do Sapucaí (MG)","470113","514161","529356","556874","633300","612126","615579"
"3162104","São Gotardo (MG)","456163","544858","568745","632428","721129","757545","827781"
"3162203","São João Batista do Glória (MG)","108229","123828","121286","123110","121020","140981","147321"
"3162252","São João da Lagoa (MG)","220849","42770","40231","41278","43040","42221","41425"
"3162302","São João da Mata (MG)","31185","31934","36430","35404","39942","42207","43119"
"3162401","São João da Ponte (MG)","122737","148056","171111","183032","191964","195981","198389"
