"codibge","Município","2012","2013","2014","2015","2016","2017","2018"
"1503200","Igarapé-Açu (PA)","212043","269984","271389","298323","334255","304516","355099"
"1503309","Igarapé-Miri (PA)","321432","374543","411410","374547","353216","376753","389802"
"1503408","Inhangapi (PA)","63467","90811","86399","95257","112443","114682","126156"
"1503457","Ipixuna do Pará (PA)","440662","471202","487403","436248","485041","541030","519093"
"1503507","Irituia (PA)","121281","162191","175420","204242","219643","217124","213513"
"1503606","Itaituba (PA)","929675","1165927","1433058","1601843","1597707","1770962","1814617"
"1503705","Itupiranga (PA)","295101","381965","424197","453461","511523","560443","519058"
"1503754","Jacareacanga (PA)","141010","159487","177849","202240","238484","327691","461547"
"1503804","Jacundá (PA)","344962","377070","415245","458521","489836","489217","484235"
"1503903","Juruti (PA)","568015","868722","905205","768414","941366","1046267","996732"
"1504000","Limoeiro do Ajuru (PA)","286482","392544","354747","404797","394987","453594","404871"
"1504059","Mãe do Rio (PA)","196676","235996","264507","276718","283984","293012","293011"
"1504109","Magalhães Barata (PA)","48371","59449","55540","59783","64732","75316","81749"
"1504208","Marabá (PA)","4170451","5739901","6313839","7305741","7487235","8599354","8780799"
"1504307","Maracanã (PA)","133493","169509","181176","186807","205831","219106","234594"
"1504406","Marapanim (PA)","148200","156194","185495","185508","213396","221402","234564"
"1504422","Marituba (PA)","923339","1112651","1418283","1592877","1732438","1788121","1901872"
"1504455","Medicilândia (PA)","255350","318026","502350","624718","566204","580793","614016"
"1504505","Melgaço (PA)","102149","124602","134299","140741","170140","169796","178160"
"1504604","Mocajuba (PA)","186532","224102","220289","253839","278415","306536","294713"
"1504703","Moju (PA)","562477","657367","651287","741243","869136","892534","943782"
"1504752","Mojuí dos Campos (PA)","208906","213045","228694","125707","137561","155209","153351"
"1504802","Monte Alegre (PA)","414857","555744","563756","612761","682044","690213","721145"
"1504901","Muaná (PA)","191396","235348","212886","232487","233425","259935","257499"
"1504950","Nova Esperança do Piriá (PA)","107024","167053","148127","179038","181541","215609","204614"
"1504976","Nova Ipixuna (PA)","94782","101321","111438","133679","134878","136995","136342"
"1505007","Nova Timboteua (PA)","75151","90210","95587","100631","114442","122891","118720"
"1505031","Novo Progresso (PA)","331148","355426","424552","467114","561084","608458","584494"
"1505064","Novo Repartimento (PA)","506001","592580","657498","736960","823582","839946","854122"
"1505106","Óbidos (PA)","382378","522300","477445","533829","613189","624557","641073"
"1505205","Oeiras do Pará (PA)","213065","286546","285441","359088","491096","431765","388502"
"1505304","Oriximiná (PA)","1264242","1524677","1409485","1722278","1814316","1701190","1626709"
"1505403","Ourém (PA)","113213","159882","151520","156196","176918","187883","169130"
"1505437","Ourilândia do Norte (PA)","479964","431090","819443","504260","542320","540548","610695"
"1505486","Pacajá (PA)","326519","341269","378513","433942","510233","580576","595652"
"1505494","Palestina do Pará (PA)","39353","46089","47595","53301","63936","66032","65475"
"1505502","Paragominas (PA)","1709396","1749020","2019305","2394332","2667465","2950442","2647150"
"1505536","Parauapebas (PA)","19080395","20198715","15561713","11184354","12645409","18439322","15995450"
"1505551","Pau D'Arco (PA)","47365","53562","58159","73398","86909","74387","87988"
"1505601","Peixe-Boi (PA)","37343","64775","41753","48552","60462","52915","55082"
"1505635","Piçarra (PA)","115553","137234","155514","180801","200705","200788","235172"
"1505650","Placas (PA)","130997","160850","221670","235473","260906","255862","245465"
"1505700","Ponta de Pedras (PA)","141116","152436","164939","187380","208199","212571","212067"
"1505809","Portel (PA)","378911","456736","439885","446246","682972","648015","893633"
"1505908","Porto de Moz (PA)","178848","226304","202864","218556","240017","295945","309944"
"1506005","Prainha (PA)","197161","229100","218863","226131","275833","302521","288710"
"1506104","Primavera (PA)","44135","70680","63930","81542","120321","149269","198977"
"1506112","Quatipuru (PA)","55967","71116","70659","75765","84625","90640","97498"
