codibge,UF,own_2011,own_2012,own_2013,own_2014,own_2015,own_2016,own_2017,own_2018,own_2019
431405,RS,7845438.85,8762799.56,10399089.58,8891325.47,8847860.25,9278585.12,9847545.05,11127083.24,11088086.40
431406,RS,305140.09,320006.00,366128.20,329981.01,310045.47,321617.71,362033.35,330282.61,420745.74
431407,RS,668449.79,610540.43,616022.41,716316.49,750682.27,670310.00,715867.56,878613.65,1047640.90
431410,RS,102277927.29,113133291.36,115097290.04,113082312.43,114729888.02,112122237.82,124042189.56,133959608.07,144527462.77
431413,RS,268917.16,294293.46,388713.17,458754.76,405823.76,406039.37,485701.70,584385.50,489469.60
431415,RS,1496447.28,1323771.05,1184041.13,1171311.49,1117356.11,1106351.43,1306711.02,1233464.38,1309007.03
431417,RS,473097.17,1005074.16,1080455.05,4762590.20,779174.78,1019507.80,1119446.23,770765.83,1729018.77
431420,RS,1262408.84,1591466.86,1786018.85,1893105.12,1657364.60,1866309.55,1914761.45,2458460.18,2098027.56
431430,RS,858767.22,813714.97,1017851.19,879586.28,886318.80,920894.09,882079.94,1371584.15,1023007.14
431440,RS,116679925.37,129969982.39,134104681.07,132973677.81,143543660.31,193447262.98,172800985.61,183118250.92,188084170.41
431442,RS,3226540.15,3450871.48,3138531.88,3163702.19,3358641.89,3172265.08,3127183.39,3096293.56,3479591.10
431445,RS,339512.72,285458.49,341570.01,330693.38,344492.38,369005.67,421405.56,474491.46,737134.80
431446,RS,1960545.26,637147.41,349180.87,504365.63,306220.86,343363.77,278906.84,399541.98,373758.89
431447,RS,487964.21,484404.72,545561.82,1048014.35,516980.42,476886.17,489040.15,488899.47,847194.14
431449,RS,268592.99,340772.50,326547.62,321973.28,442735.63,442153.71,472025.94,476790.29,503654.35
431450,RS,2204748.19,2656595.85,6042289.96,3203338.69,2100062.09,2487014.99,2345696.05,2952386.41,3285764.98
431454,RS,0.00,0.00,492081.04,774206.52,538222.75,663386.49,850174.55,804200.51,635218.22
431455,RS,274159.97,320049.84,234625.36,223696.78,303417.22,472007.43,330341.24,330797.70,335215.62
431460,RS,2581448.50,2925932.45,5105590.15,3022982.63,2129751.34,2267113.35,2507206.48,3113679.22,3177970.29
431470,RS,1893933.76,1893173.44,1834971.90,1938392.87,1861332.63,2095847.14,2085508.81,2692497.48,2924745.58
431475,RS,530179.02,721281.44,393499.54,462993.83,496357.13,421577.76,486715.99,498065.92,568186.76
431477,RS,823881.27,606605.37,628639.84,704353.25,596879.62,531456.34,725141.21,667246.58,634473.55
431478,RS,289358.14,250256.50,212595.34,281327.18,279194.42,244460.57,303138.56,369130.60,424514.34
431480,RS,7433149.23,7951565.69,9110774.62,8849990.12,9295599.32,8701897.46,9029980.01,13023505.12,15394615.84
431490,RS,1798185953.47,1837753130.19,1870372331.85,1939908136.85,1918919828.35,1974039641.01,1901085384.31,1988760290.15,2005244977.21
431500,RS,552760.14,422120.99,433859.46,423497.94,361955.98,353942.22,692262.55,689870.56,743970.16
431505,RS,280471.92,161831.91,260996.73,224281.79,231161.72,221087.77,224870.73,239483.59,291361.86
431507,RS,143912.06,164129.32,172864.82,196873.99,165704.84,190876.17,211287.95,241789.33,236809.00
431510,RS,1449686.32,1719491.50,1662566.94,1753213.61,1425262.83,1588639.07,1594605.87,1918568.35,1796858.55
431513,RS,1427893.72,1143045.12,691948.73,254777.29,264085.76,255452.05,296347.73,330340.05,446683.79
431514,RS,432429.30,741603.19,790824.67,818222.61,667784.29,705322.06,523022.07,488333.24,611907.38
431515,RS,576623.35,587301.71,756430.07,713154.62,616627.35,681960.33,724275.36,683197.12,774826.33
431517,RS,173118.17,233737.29,243987.14,278398.07,190494.34,267915.51,356378.83,275263.68,366625.10
431520,RS,414573.64,401585.50,403009.46,448894.36,431850.32,480150.45,487605.70,497780.38,512401.34
431530,RS,2646482.68,3162687.32,3759062.69,3360919.45,3160096.32,3310565.51,3590553.96,3139716.33,3678762.99
431531,RS,245737.06,303210.58,254242.17,427853.79,528553.97,277741.77,439309.38,225270.78,434912.31
431532,RS,258377.68,384524.33,305905.12,422265.45,360627.83,370987.66,536600.56,1006533.84,2346213.13
431535,RS,1203713.56,795608.06,894343.51,971881.88,898196.85,1114723.84,994842.38,1278338.78,1332949.24
431540,RS,609908.10,616649.60,808089.03,714153.18,705128.53,607813.97,665068.89,778343.94,1111783.65
431545,RS,319520.83,481010.50,563608.67,632120.13,382690.61,372079.49,320392.39,334116.16,333334.71
431550,RS,2211044.13,1993132.10,2137768.85,3004940.48,2822859.07,2892530.51,4057207.39,4369675.06,4652719.81
431555,RS,154164.93,197150.73,210875.35,280338.46,217703.04,246352.49,310997.29,233448.01,245126.91
431560,RS,114802639.14,139705583.37,183386088.99,168136398.03,143918868.09,139467779.34,130915833.08,142158185.25,138377569.69
431570,RS,7874216.92,8660086.65,8313443.41,7027164.02,6964987.56,7014168.14,8822428.49,6914814.35,7643494.76
431575,RS,572767.49,647464.23,719055.62,561602.94,514443.50,564937.62,698469.07,755454.17,854627.71
431580,RS,1447061.95,1812262.61,1800390.01,1807172.20,1808355.92,1733420.51,1809523.79,1923149.69,2046945.47
431590,RS,991098.41,1042794.65,1051011.52,1107898.31,1137665.87,1111985.02,1069508.99,1211750.70,1324371.27
431595,RS,344813.97,235032.34,299191.85,323713.62,181558.76,391712.69,312534.85,296650.93,449437.57
431600,RS,2660265.59,2689502.24,3134165.57,4270812.21,5446556.41,6978589.66,8707330.65,9999536.75,8076821.36
431610,RS,1115355.89,1334016.16,1630542.21,1802624.37,2180706.62,2156723.64,2445392.62,2513620.41,2534280.22
431620,RS,561142.60,527669.65,563924.39,575262.41,627048.72,719737.83,696522.29,832667.38,818496.41
431630,RS,3093650.51,3924608.95,1249578.23,2695476.13,1075316.47,956996.09,1161175.62,1088908.31,1174047.35
431640,RS,4526404.53,4668212.35,4593489.04,4419562.17,4591539.43,5699627.34,6543229.01,6079771.53,7163125.37
431642,RS,236347.31,252133.15,251380.81,278611.79,265615.91,222149.92,218195.88,282608.75,311365.66
431643,RS,979428.66,982887.25,768181.02,590268.35,740838.95,798099.03,831996.04,934771.95,821007.30
431645,RS,2356790.27,1943287.10,2143450.76,3775244.92,3227283.19,2266730.46,2171536.32,2606387.93,2996797.34
431647,RS,1379635.49,326605.10,331980.35,395250.44,421177.18,434597.66,423232.72,416963.42,447111.28
