codibge,UF,iptu_2011,iptu_2012,iptu_2013,iptu_2014,iptu_2015,iptu_2016,iptu_2017,iptu_2018,iptu_2019
421570,SC,1587047.05,1714449.45,1663693.21,1732792.56,2185710.62,2887938.29,3379080.56,4084866.00,4021287.11
421575,SC,35675.19,33937.41,36768.94,54822.17,38906.90,37740.16,42705.09,44479.12,54926.07
421580,SC,17895176.14,13929484.98,14894080.73,14831890.32,15619192.86,15394423.76,20084460.79,18488197.04,18949188.67
421590,SC,116091.00,110187.63,122313.31,115804.88,112731.49,136373.07,145833.76,143032.21,154538.82
421600,SC,565244.01,525786.09,676537.80,569007.91,567121.33,669127.90,711856.51,773069.77,719618.99
421605,SC,298012.94,229468.45,199379.59,235757.48,162019.10,199156.66,233394.02,278367.49,274046.59
421610,SC,336868.30,359786.79,387541.92,309369.85,294517.51,291669.02,262385.10,316567.54,289857.90
421620,SC,8973799.39,9753287.63,9517887.65,12520608.49,11350375.37,10731071.63,12596014.27,12015880.49,14590713.65
421625,SC,195995.06,209682.34,211312.02,225253.98,215652.51,234239.68,262825.08,346905.73,402541.86
421630,SC,2079864.82,2161982.39,2365044.01,2275977.19,2476946.17,2364161.26,2791445.34,2610678.82,2939345.88
421635,SC,91740.68,86749.84,87721.02,95985.82,103243.46,158004.61,160420.88,114658.57,110338.38
421640,SC,197724.43,196008.60,226843.35,239915.99,212228.28,173532.02,218119.70,294076.84,272784.07
421650,SC,2111777.10,2096116.91,2384591.98,2239513.63,2284059.52,2480509.38,2573781.23,2482211.60,2630737.61
421660,SC,53851387.07,55959084.22,60759910.37,69096789.58,95159945.82,67798483.40,81530102.02,84185041.12,88795988.81
421670,SC,1093288.62,1126886.37,1137998.66,1127263.75,1225743.70,1116673.38,1290561.77,1271344.55,1434713.40
421680,SC,151116.11,162515.22,141865.01,162903.63,159274.60,128471.04,141229.95,157674.50,156184.78
421690,SC,2886086.18,3119555.46,3382374.72,3435598.17,3049726.42,3107406.07,3353449.36,3380410.35,4134987.13
421700,SC,700771.70,710483.50,868695.45,824294.15,696922.02,789189.34,1164741.15,1016502.08,1145481.46
421710,SC,40095.75,60547.65,55064.11,103619.04,40211.84,54856.69,48634.65,68377.70,62601.34
421715,SC,26386.20,26787.48,37095.13,35105.90,36061.15,51035.10,56761.94,57040.78,57604.36
421720,SC,3158792.26,3402845.96,3482417.63,3707252.74,3886118.28,3881384.11,5677590.58,5310204.51,5904127.42
421725,SC,425844.58,522781.88,443985.05,556594.10,604114.96,405135.66,414281.02,409202.63,496488.34
421730,SC,278330.79,351913.75,344735.05,467128.13,540497.35,544644.73,556429.74,790694.31,867584.71
421740,SC,1712985.76,1720083.32,1774813.50,1845589.95,1914997.00,2306137.59,2418496.01,2406706.24,2514638.30
421750,SC,1093291.65,1132751.58,1370908.92,1277303.19,1160965.90,1169461.00,1303429.40,912357.48,1326558.23
421755,SC,166831.20,168595.98,183891.08,260454.23,303268.27,394809.72,582186.46,445441.60,585652.40
421760,SC,413904.15,403684.61,477566.83,532581.03,460607.93,428104.53,624772.87,687991.56,682886.92
421770,SC,2427111.80,2431778.97,1647013.76,2423858.79,2194734.65,2295608.19,4102896.78,3777159.89,3855044.10
421775,SC,64068.24,71070.30,83289.55,84121.39,72157.30,63127.24,59225.68,113126.06,110337.78
421780,SC,1462538.34,1427084.12,1505812.55,1762489.32,1582543.54,1618688.98,2015506.91,2068366.43,2134560.24
421790,SC,1181896.06,1032976.18,1040082.11,1177786.48,1067312.47,1067270.15,1248077.94,1072919.41,1112217.02
421795,SC,8210.05,7843.43,10793.23,106964.38,106731.15,125240.21,121995.72,187538.60,201780.36
